subject,session,task,stimulus_label,n_present_channels,dense_file,band_file,meta_file,n_kept_windows,n_dropped_windows,status
sub-04,ses-02,task-monkey2_run-02,Monkey 2,58,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-monkey2_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-monkey2_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-monkey2_run-02/run_meta_master61_masked.json,58,5,ok
sub-04,ses-02,task-monkey5_run-01,Monkey 5,58,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-monkey5_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-monkey5_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-monkey5_run-01/run_meta_master61_masked.json,57,7,ok
sub-04,ses-02,task-monkey5_run-02,Monkey 5,57,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-monkey5_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-monkey5_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-04/ses-02/task-monkey5_run-02/run_meta_master61_masked.json,51,11,ok
sub-05,ses-01,task-dme_run-01,Despicable Me (English),59,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-dme_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-dme_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-dme_run-01/run_meta_master61_masked.json,90,24,ok
sub-05,ses-01,task-dme_run-02,Despicable Me (English),57,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-dme_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-dme_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-dme_run-02/run_meta_master61_masked.json,61,27,ok
sub-05,ses-01,task-inscapes,Inscapes,56,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-inscapes/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-inscapes/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-inscapes/run_meta_master61_masked.json,121,20,ok
sub-05,ses-01,task-monkey1_run-01,Monkey 1,56,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-monkey1_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-monkey1_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-monkey1_run-01/run_meta_master61_masked.json,46,17,ok
sub-05,ses-01,task-monkey1_run-02,Monkey 1,59,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-monkey1_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-monkey1_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-monkey1_run-02/run_meta_master61_masked.json,40,19,ok
sub-05,ses-01,task-tp_run-01,The Present,59,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-tp_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-tp_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-tp_run-01/run_meta_master61_masked.json,42,23,ok
sub-05,ses-01,task-tp_run-02,The Present,57,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-tp_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-tp_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-05/ses-01/task-tp_run-02/run_meta_master61_masked.json,31,21,ok
